title;authors;affiliations;publication;year;paper_type;citation;download;keywords_ieee;keywords_controlled;keywords_non_controlled;keywords_author;url;acronym
"Reducing Unauthorized Modification of Digital Objects";"Paul C. Van Oorschot|Glenn Wurster";"Carleton University, Ottawa|Carleton University, Ottawa";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"0";"835";"Public key|Digital signatures|Access controls|Malware|File organization|Operating systems";"operating system kernels|authorisation|digital signatures|file organisation|industrial property";"overhead cost minimisation|unauthorized modification reduction|malicious modification problem|unauthorized digital object replacement|digital signatures|file-system binaries|Linux|operating system protection|kernel modification";"operating systems.|Protection mechanisms|software release management and delivery|system integration and implementation|access controls|file organization";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5680916";"TOSE"
"Scalable Differential Analysis of Process Algebra Models";"Mirco Tribastone|Stephen Gilmore|Jane Hillston";"The University of Edinburgh, Edinburgh|The University of Edinburgh, Edinburgh|The University of Edinburgh, Edinburgh";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"42";"603";"Mathematical model|Semantics|Computational modeling|Approximation methods|Numerical models|Stochastic processes|Markov methods";"software engineering|differential equations|Markov processes|multi-threading|process algebra";"distributed multithreaded application|scalable differential analysis|large-scale software systems|discrete-state approach|stochastic process algebra|PEPA|Markov chain model|ordinary differential equations";"Markov processes.|Modeling and prediction|ordinary differential equations";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5567115";"TOSE"
"Schedule of Bad Smell Detection and Resolution: A New Way to Save Effort";"Hui Liu|Zhiyi Ma|Weizhong Shao|Zhendong Niu";"Beijing Institute of Technology and Ministry of Education, Beijing|Ministry of Education, Beijing|Ministry of Education, Beijing|Beijing Institute of Technology, Beijing";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"35";"1899";"Refactoring|Feature extraction|Distance measurement|Scheduling";"software engineering|scheduling";"open source applications|bad smell detection|bad smell resolution|software engineers|optimal sequence|resolution sequence|detection sequence";"schedule.|Scheme|bad smell|software refactoring|effort|detection";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5680918";"TOSE"
"Automatically Generating Test Cases for Specification Mining";"Valentin Dallmeier|Nikolai Knopp|Christoph Mallon|Gordon Fraser|Sebastian Hack|Andreas Zeller";"Universit&#x0E4;t des Saarlandes, Saarbr&#x0FC;cken|Universit&#x0E4;t des Saarlandes, Saarbr&#x0FC;cken|Universit&#x0E4;t des Saarlandes, Saarbr&#x0FC;cken|Universit&#x0E4;t des Saarlandes, Saarbr&#x0FC;cken|Universit&#x0E4;t des Saarlandes, Saarbr&#x0FC;cken|Universit&#x0E4;t des Saarlandes, Saarbr&#x0FC;cken";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"27";"1778";"Testing|Java|Instruments|Schedules|Software|Heuristic algorithms|Fault detection";"program verification|automatic test pattern generation|data mining|formal specification|Java";"static typestate verifier|automatic test case generation|dynamic specification mining|program executions|normal program behavior|TAUTOKO|typestate mining|Java";"typestate analysis.|Specification mining|test case generation";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6044587";"TOSE"
"Random Testing: Theoretical Results and Practical Implications";"Andrea Arcuri|Muhammad Zohaib Iqbal|Lionel Briand";"Simula, Oslo|Simula Research Laboratory, Lysaker|Simula Research Laboratory, Lysaker";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"45";"1762";"Testing|Software|Upper bound|Color|Random variables|Algorithm design and analysis|Generators";"software tools|program testing";"partition testing|random testing|software testing|software tool|mathematical analysis";"adaptive random testing.|Coupon collector|random testing|theory|Schur function|predictability|partition testing";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6104067";"TOSE"
"Mutation-Driven Generation of Unit Tests and Oracles";"Gordon Fraser|Andreas Zeller";"Saarland University, Saarbr&#x0FC;cken|Saarland University, Saarbr&#x0FC;cken";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"69";"1745";"Testing|Genetic algorithms|Biological cells|Software|Software algorithms|Generators|Libraries";"program testing|automatic test pattern generation|object-oriented programming|optimisation";"open source libraries|mutation driven generation|unit test|oracle|test suites quality|artificial defects|automated test case generation|object-oriented classes|optimization|mutation operators";"search-based testing.|Mutation analysis|test case generation|unit testing|test oracles|assertions";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6019060";"TOSE"
"Automatic Detection of Unsafe Dynamic Component Loadings";"Taeho Kwon|Zhendong Su";"University of California, Davis, Davis|University of California, Davis, Davis";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"2";"994";"Loading|Instruments|Image resolution|Operating systems|Linux|Security";"system monitoring|Linux|object-oriented programming|operating systems (computers)|security of data|software libraries|software reliability";"remote code execution|automatic detection|unsafe dynamic component loadings|dynamic loading|software components|software libraries|software modules|system modularity|system flexibility|component resolution|software execution|malicious components|arbitrary file|file system|vulnerable host|remote exploitation|automated technique|vulnerable dynamic component loadings|dynamic binary instrumentation|runtime information|vulnerable component loadings|Microsoft Windows|Linux|unsafe component loading|OS platforms";"dynamic analysis.|Unsafe component loading";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6065738";"TOSE"
"Fault Localization for Dynamic Web Applications";"Shay Artzi|Julian Dolby|Frank Tip|Marco Pistoia";"IBM Software Group, Littleton|IBM Thomas J. Watson Research Center, Yorktown Heights|IBM Thomas J. Watson Research Center, Yorktown Heights|IBM Thomas J. Watson Research Center, Yorktown Heights";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"14";"1665";"HTML|Databases|Servers|Open source software|Browsers|Algorithm design and analysis|Concrete";"statistical analysis|program testing|software fault tolerance";"open-source PHP applications|fault localization|dynamic Web applications|statistical analysis|source mapping|fault localization effectiveness|test generation strategies|path constraint|Tarantula|Ochiai|Jaccard|Apollo";"PHP.|Fault localization|statistical debugging|program analysis|web applications";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5975173";"TOSE"
"A Model of Data Warehousing Process Maturity";"Arun Sen|K. Ramamurthy|Atish P. Sinha";"Texas A&amp;M University, College Station|University of Wisconsin-Milwaukee, Milwaukee|University of Wisconsin-Milwaukee, Milwaukee";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"15";"2251";"Data warehouses|Business|Warehousing|Software|Programming|Data mining|Standards organizations";"data warehouses";"DWP-M model|data warehousing process maturity|data warehouse market|large-scale failures";"software maturity models.|Data warehousing process|design-science research|model validation";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5680911";"TOSE"
"A UML/MARTE Model Analysis Method for Uncovering Scenarios Leading to Starvation and Deadlocks in Concurrent Systems";"Marwa Shousha|Lionel Briand|Yvan Labiche";"Carleton University, Ottawa|Simula Research Laboratory, Lysaker and University of Oslo, Norway|Carleton University, Ottawa";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"10";"1068";"Unified modeling language|Concurrent computing|System recovery|Analytical models|Real time systems|Computational modeling|Data mining";"Unified Modeling Language|concurrency control|embedded systems|genetic algorithms|search problems|software engineering";"complex search spaces|UML-MARTE model analysis method|starvation|deadlocks|concurrency problems|design process|complex concurrent systems|specialized design models|Unified Modeling Language|genetic algorithm|UML design|search technique|scalable automation|concurrency problem detection|concurrency information|UML models|UML modeling and analysis|real-time systems|embedded systems|MARTE profile|execution sequences";"genetic algorithms.|Search-based software engineering|MDD|deadlock|starvation|model analysis|concurrent systems|UML|MARTE";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5661791";"TOSE"
"Data Mining Techniques for Software Effort Estimation: A Comparative Study";"Karel Dejaeger|Wouter Verbeke|David Martens|Bart Baesens";"Katholieke Universiteit Leuven, Leuven|Katholieke Universiteit Leuven, Leuven|University of Antwerp, Antwerp|Katholieke Universiteit Leuven, Leuven and University of Southampton, Highfield Southampton";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"69";"4008";"Software|Estimation|Data models|Data mining|Cognition|Artificial neural networks|Regression tree analysis";"software cost estimation|data mining|program testing|regression analysis";"logarithmic transformation|data mining techniques|software effort estimation|predictive model|rule-based models|CART|M5|linear regression|nonlinear models|estimation techniques|feature subset selection|generic backward input selection wrapper|rigorous statistical testing|ordinary least squares regression";"regression.|Data mining|software effort estimation";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5928350";"TOSE"
"Evaluation and Measurement of Software Process Improvement&#x02014;A Systematic Literature Review";"Michael Unterkalmsteiner|Tony Gorschek|A.K.M. Moinul Islam|Chow Kian Cheng|Rahadian Bayu Permadi|Robert Feldt";"Blekinge Institute of Technology, Karlskrona|Blekinge Institute of Technology, Karlskrona|University of Kaiserslautern, Kaiserslautern|General Electrics Healthcare, Freiburg|Amadeus S.A.S, Sophia Antipolis|Blekinge Institute of Technology, Karlskrona";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"71";"3919";"Software|Software measurement|Systematics|Current measurement|Data mining|Organizations";"software process improvement";"return on investment|software process improvement|SPI|software development organization|customer satisfaction";"systematic literature review.|Process implementation and change|process measurement|metrics/measurement";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5728832";"TOSE"
"Exploiting the Essential Assumptions of Analogy-Based Effort Estimation";"Ekrem Kocaguneli|Tim Menzies|Ayse Bener|Jacky W. Keung";"West Virginia University, Morgantown|West Virginia University, Morgantown|Ryerson University, Toronto|The Hong Kong Polytechnic University, Hong Kong";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"68";"1346";"Estimation|Training|Software|Training data|Linear regression|Euclidean distance|Humans";"trees (mathematics)|pattern clustering|program testing|project management|software cost estimation";"project data|analogy-based effort estimation|software effort estimator design|essential assumption|supertree variance|subtree variance|Coc81 data set|Nasa93 data set|Desharnais data set|Albrecht data set|ISBSG data set|Turkish companies|estimation variance|binary cluster tree|cluster subtrees|dynamic selection|nearest neighbor selection";"k-NN.|Software cost estimation|analogy";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5728833";"TOSE"
"Forecasting Risk Impact on ERP Maintenance with Augmented Fuzzy Cognitive Maps";"Jose L. Salmeron|Cristina Lopez";"University Pablo de Olavide, Seville|Pablo de Olavide University, Seville";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"27";"1519";"Decision support systems";"software management|cognition|enterprise resource planning|forecasting theory|fuzzy set theory|project management|risk analysis|software maintenance";"risk impact forecasting|enterprise resource planning system|ERP adoption success|ERP system maintenance|ERP maintenance risks|dynamic simulation tool|ERP maintenance project management|augmented fuzzy cognitive maps";"software maintenance.|ERP|fuzzy cognitive maps|risk management|simulation";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5680917";"TOSE"
"Input Domain Reduction through Irrelevant Variable Removal and Its Effect on Local, Global, and Hybrid Search-Based Structural Test Data Generation";"Phil McMinn|Mark Harman|Kiran Lakhotia|Youssef Hassoun|Joachim Wegener";"University of Sheffield, Sheffield|University College London, London|University College London, London|King's College London, London|Berner &amp; Mattner Systemtechnik GmbH, Berlin";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"21";"964";"Input variables|Software testing|Optimization|Algorithm design and analysis|Search problems|Software algorithms";"search problems|automatic test pattern generation|optimisation|program compilers|program slicing|program testing|public domain software";"industrial production code|input domain reduction|irrelevant variable removal|hybrid search-based structural test data generation|fitness functions|test input generation|search-based optimization algorithm|key determining factor|search-based software testing|search space reduction|static dependence analysis|program slicing|open source approach";"input domain reduction.|Search-based software testing|evolutionary testing|automated test data generation";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5710949";"TOSE"
"PerLa: A Language and Middleware Architecture for Data Management and Integration in Pervasive Information Systems";"Fabio A. Schreiber|Romolo Camplani|Marco Fortunato|Marco Marelli|Guido Rota";"Politecnico di Milano, Milano|Politecnico di Milano, Milano|Politecnico di Milano, Milano|Politecnico di Milano, Milano|Politecnico di Milano, Milano";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"16";"1137";"Middleware|Monitoring|Software|Context|Wireless sensor networks|Databases|Hardware";"ubiquitous computing|data integration|information systems|middleware|software architecture|SQL";"device self-description|PerLa|language architecture|middleware architecture|data management|data integration|pervasive information systems|declarative SQL-like language|data collection|passive RFID|ad hoc sensor boards|portable computers";"wireless sensor networks.|Declarative language|device heterogeneity|functionality proxy|middleware infrastructure|pervasive system|SQL";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5728831";"TOSE"
"A Theoretical and Empirical Analysis of the Role of Test Sequence Length in Software Testing for Structural Coverage";"Andrea Arcuri";"Simula Research Laboratory, Lysaker";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"10";"1623";"Software|Containers|Software testing|Algorithm design and analysis|Search problems|Software algorithms";"program testing|C language|object-oriented programming";"test sequences|empirical analysis|theoretical analysis|test sequence length|software testing|structural coverage|internal state|function calls|object-oriented software|procedural software|C programs|static variables";"test sequence.|Evolutionary testing|object-oriented software|state problem|search-based software engineering|software testing|length";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5750005";"TOSE"
"An Autonomous Engine for Services Configuration and Deployment";"Felix Cuadrado|Juan C. Duenas|Rodrigo Garcia-Carmona";"Queen Mary University of London, London|Universidad Polit&#x0E9;cnica de Madrid, Madrid|Universidad Polit&#x0E9;cnica de Madrid, Madrid";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"7";"847";"Runtime|Containers|Servers|Web services|Context|Business|Engines";"service-oriented architecture|computability|fault tolerant computing";"banking domain|autonomous engine|services configuration|runtime management|service-based systems|dynamically composed distributed services|distributed elements|runtime resources|automated closed control loop|generic information model|runtime elements|service dependencies|business objectives|satisfiability";"service configuration.|Autonomic systems|model-based management|satisfiability";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5728830";"TOSE"
"Comparing Semi-Automated Clustering Methods for Persona Development";"Jonalan Brickey|Steven Walczak|Tony Burgess";"US Army, Combating Terrorism Center, West Point|University of Colorado Denver, Denver|United States Military Academy, West Point";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"4";"825";"Manuals|Clustering methods|Principal component analysis|Software|Interviews|Humans|Organizations";"principal component analysis|information systems|pattern clustering";"latent semantic analysis|semi-automated clustering methods|persona development|information systems|design tools|quantitative clustering techniques|qualitative clustering techniques|principal components analysis";"user interfaces.|Clustering|interaction styles|personas|user-centered design";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5928355";"TOSE"
"Comparing the Defect Reduction Benefits of Code Inspection and Test-Driven Development";"Jerod W. Wilkerson|Jay F. Nunamaker|Rick Mercer";"Pennsylvania State University, Erie, Erie|University of Arizona, Tucson|University of Arizona, Tucson";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"6";"1811";"Inspection|Software|Testing|Java|Writing|Programming profession";"system recovery|program testing";"programming assignment|defect reduction benefits|code inspection|test driven development|quasi experiment|software defect rates|software defect reduction|senior computer science students|junior computer science students";"empirical study.|Agile programming|code inspections and walk throughs|reliability|test-driven development|testing strategies";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5750007";"TOSE"
"DEC: Service Demand Estimation with Confidence";"Amir Kalbasi|Diwakar Krishnamurthy|Jerry Rolia|Stephen Dawson";"University of Calgary, Calgary|University of Calgary, Calgary|Hewlett Packard Labs, Bristol|SAP Research Center Belfast, Belfast";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"19";"615";"Benchmark testing|Equations|Software|Mathematical model|Estimation|Frequency modulation|Computers";"service-oriented architecture|multiprocessing systems|regression analysis";"capacity planning|DEC|service demand estimation technique|resource demand requirements|multitier systems|service-oriented world|regression-based demand estimation techniques|multicollinearity|system sizing";"statistical regression.|Benchmarking|resource demand prediction";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5728829";"TOSE"
"Exploiting Dynamic Information in IDEs Improves Speed and Correctness of Software Maintenance Tasks";"David Rothlisberger|Marcel Harry|Walter Binder|Philippe Moret|Danilo Ansaloni|Alex Villazon|Oscar Nierstrasz";"Universit&#x0E1;t Bern, Bern|Universit&#x0E1;t Bern, Bern|University of Lugano (USI), Lugano|University of Lugano (USI), Lugano|University of Lugano (USI), Lugano|Universidad Privada Boliviana (UPB), Cochabamba|Universit&#x0E1;t Bern, Bern";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"9";"655";"Runtime|Measurement|Java|Context|Software maintenance|Concrete|Weaving";"software maintenance|dynamic programming|object-oriented programming|program compilers";"dynamic information|exploiting dynamic information|IDE|software maintenance tasks|Eclipse|source code|runtime behavior|software systems|object-oriented systems|dynamic binding|runtime architecture";"performance measures.|Object-oriented programming|integrated environments|restructuring|reverse engineering|reengineering|complexity measures";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6178187";"TOSE"
"Model Checking Semantically Annotated Services";"Ivan Di Pietro|Francesco Pagliarecci|Luca Spalazzi";"Universit&#x0E0; Politecnica delle Marche, Ancona|Universit&#x0E0; Politecnica delle Marche, Ancona|Universit&#x0E0; Politecnica delle Marche, Ancona";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"11";"1008";"Web services|Semantics|Ontologies|Switches|Computational modeling|Biological system modeling|Syntactics";"Web services|computational complexity|formal verification|semantic Web|temporal logic|trees (mathematics)";"semantically annotated services|formal verification method|Web service|description logic|semantic reasoning technologies|semantic model checking|annotated state transition systems|computation tree logic|polynomial time|temporal logic";"web services.|Formal methods|model checking|temporal logic|description logic|intelligent web services|semantic web";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5680919";"TOSE"
"On the Evolution of Services";"Vasilios Andrikopoulos|Salima Benbernou|Michael P. Papazoglou";"IAAS, University of Stuttgart, Stuttgart|Universit&#x0E9; Paris Descartes, Paris|ERISS, Tilburg University, Tilburg";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"55";"1260";"XML|Guidelines|Protocols|Business|Availability|Quality of service|Software";"Web services|service-oriented architecture";"service-oriented computing|software service|service-oriented paradigm|software engineering|programming languages";"service compatibility.|Services engineering|service evolution|versioning";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5728828";"TOSE"
"Oracles for Distributed Testing";"Robert M. Hierons";"Brunel University, Middlesex";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"16";"741";"Testing|Controllability|Observability|Polynomials|Software|Software engineering";"program testing|distributed processing|finite state machines|polynomials";"decision procedure|distributed testing|oracle problem|finite state machine|FSM|physically distributed interfaces|polynomial time|weaker notion|NP-hard problem|sound approximation";"local observability.|Software engineering/software/program verification|software engineering/testing and debugging|systems and software|distributed systems|finite state machine|nondeterminism|test oracle|controllability";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5750006";"TOSE"
"Pointcut Rejuvenation: Recovering Pointcut Expressions in Evolving Aspect-Oriented Software";"Raffi Khatchadourian|Phil Greenwood|Awais Rashid|Guoqing Xu";"Ohio State University, Columbus|Lancaster University, Lancaster|Lancaster University, Lancaster|Ohio State University, Columbus";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"2";"493";"Software|Fuels|Software engineering|Observers|Robustness|Programming|Proposals";"aspect-oriented programming";"parameterized heuristic algorithm|pointcut rejuvenation|pointcut expression recovery|aspect-oriented software|pointcut fragility|aspect-oriented programming|pointcut maintenance|deep structural commonalities harnessing|program elements|join points|pattern analysis|AspectJ programs";"software tools.|Software development environments|software maintenance";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5710951";"TOSE"
"QoS Assurance for Dynamic Reconfiguration of Component-Based Software Systems";" Wei Li";"Centerfor Intell. &amp; Networked Syst., Central Queensland Univ., Rockhampton, QLD, Australia";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"17";"1138";"Quality of service|Encryption|Protocols|Connectors|Receivers|Benchmark testing";"software quality|quality of service";"reconfiguration benchmark|QoS assurance|dynamic reconfiguration|component based software systems|Quality of Service|application disruption|physical requirements|logical requirements|abstract reconfiguration|quantitative evaluation|reconfigurable component";"system evolution.|Change management|componentware|dynamic reconfiguration|modeling the QoS assurance process";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5740932";"TOSE"
"Software Development Estimation Biases: The Role of Interdependence";"Magne Jorgensen|Stein Grimstad";"University of Oslo, Lysaker|University of Oslo, Lysaker";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"5";"830";"Estimation|Software|Companies|Context|Programming|Outsourcing|Instruments";"software management|estimation theory";"outsourcing companies|software development estimation|interdependence role|project failures|project plans";"software engineering.|Effort estimation|estimation bias|cultural differences";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6193066";"TOSE"
