title;authors;affiliations;publication;year;paper_type;citation;download;keywords_ieee;keywords_controlled;keywords_non_controlled;keywords_author;url;acronym
"Machine Learning-Based Detection of Open Source License Exceptions";"Christopher Vendome|Mario Linares-V&#x00E1;squez|Gabriele Bavota|Massimiliano Di Penta|Daniel German|Denys Poshyvanyk";"Coll. of William &amp; Mary, Williamsburg, VA, USA|Univ. de los Andes, Bogota, Colombia|Univ. della Svizzera Italiana, Lugano, Switzerland|Univ. of Sannio, Benevento, Italy|Univ. of Victoria, Victoria, BC, Canada|Coll. of William &amp; Mary, Williamsburg, VA, USA";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"0";"332";"Software engineering";"learning (artificial intelligence)|pattern classification|public domain software|software reusability|source code (software)";"sensitivity analysis|supervised learners|license exception classification|license compliance analysis|FOSS licenses|free and open source software|source code|binary code|software reuse|software redistribution|software modification|software licenses|open source license exceptions|machine learning-based detection";"Software Licenses|Empirical Studies|Classifiers";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985655";"ICSE"
"Software Development Waste";"Todd Sedano|Paul Ralph|C&#x00E9;cile P&#x00E9;raire";"Pivotal, Palo Alto, CA, USA|Univ. of Auckland, Auckland, New Zealand|Electr. &amp; Comput. Eng., Carnegie Mellon Univ., Moffett Field, CA, USA";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"2";"371";"Software|Interviews|Manufacturing|Taxonomy|Programming|Production systems";"software engineering";"software development waste|complex socio-technical activity|constructivist grounded theory|software development consultancy|Pivotal|lean software development";"Software engineering waste|Extreme Programming|Lean Software Development";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985656";"ICSE"
"Becoming Agile: A Grounded Theory of Agile Transitions in Practice";"Rashina Hoda|James Noble";"Dept. of Electr. &amp; Comput. Eng., Univ. of Auckland, Auckland, New Zealand|Sch. of Eng. &amp; Comput. Sci., Victoria Univ. of Wellington, Wellington, New Zealand";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"0";"498";"Software|Interviews|Telecommunications|Banking|Encoding|Finance";"cultural aspects|software development management|software prototyping|team working";"agile development practices|grounded theory|software development practices|team practices|management approach|reflective practices|culture|software team";"agile software development|transition|selforganizing|teams|management|culture|theory|grounded theory";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985657";"ICSE"
"From Diversity by Numbers to Diversity as Process: Supporting Inclusiveness in Software Development Teams with Brainstorming";"Anna Filippova|Erik Trainer|James D. Herbsleb";"Inst. for Software Res., Carnegie Mellon Univ., Pittsburgh, PA, USA|Inst. for Software Res., Carnegie Mellon Univ., Pittsburgh, PA, USA|Inst. for Software Res., Carnegie Mellon Univ., Pittsburgh, PA, USA";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"0";"165";"Software|Teamwork|Software engineering|Concrete|Cultural differences|Organizations";"software engineering";"software development|time-intensive hackathon-like environments|brainstorming";"Diversity|hackathons|teamwork|brainstorming|satisfaction|software engineering management";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985658";"ICSE"
"Classifying Developers into Core and Peripheral: An Empirical Study on Count and Network Metrics";"Mitchell Joblin|Sven Apel|Claus Hunsen|Wolfgang Mauerer";"Siemens AG, Erlangen, Germany|Univ. of Passau, Passau, Germany|Univ. of Passau, Passau, Germany|OTH Regensburg Munich, Siemens AG, Munich, Germany";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"2";"250";"Measurement|Collaboration|Stability analysis|Open source software|Systems architecture|Computer bugs";"software engineering";"software project|count-based operationalizations|fine-grained developer network|open-source projects|network-based core-peripheral operationalizations";"Developer roles|developer networks|classification|mining software repositories";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985659";"ICSE"
"Decoding the Representation of Code in the Brain: An fMRI Study of Code Review and Expertise";"Benjamin Floyd|Tyler Santander|Westley Weimer";"||";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"2";"247";"Biomedical imaging|Software engineering|Brain|Software|Computer science|Natural languages|Tools";"biomedical MRI|medical image processing|software engineering";"fMRI study|software engineering tasks|medical imaging techniques|functional magnetic resonance imaging|code comprehension|code review|prose review|neural representations|programming languages|natural languages";"medical imaging|code comprehension|prose review";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985660";"ICSE"
"Understanding the Impressions, Motivations, and Barriers of One Time Code Contributors to FLOSS Projects: A Survey";"Amanda Lee|Jeffrey C. Carver|Amiangshu Bosu";"Comput. Sci. Dept., Univ. of Alabama, Tuscaloosa, AL, USA|Comput. Sci. Dept., Univ. of Alabama, Tuscaloosa, AL, USA|Dept. of Comput. Sci., Southern Illinois Univ., Carbondale, IL, USA";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"0";"233";"Computer bugs|Electronic mail|Encoding|Computer science|Open source software|Concrete|Tools";"project management|public domain software|software engineering";"one time code contributors|FLOSS projects|free-Libre open source software project|OTC";"FLOSS|Open source|OSS|Newcomers|One Time Contributors|Survey|Qualitative Research";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985661";"ICSE"
"Search-Driven String Constraint Solving for Vulnerability Detection";"Julian Thom&#x00E9;|Lwin Khin Shar|Domenico Bianculli|Lionel Briand";"SnT Centre, Univ. of Luxembourg, Luxembourg City, Luxembourg|SnT Centre, Univ. of Luxembourg, Luxembourg City, Luxembourg|SnT Centre, Univ. of Luxembourg, Luxembourg City, Luxembourg|SnT Centre, Univ. of Luxembourg, Luxembourg City, Luxembourg";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"0";"193";"Java|Libraries|Security|Ant colony optimization|Automata|Search problems|Standards";"ant colony optimisation|Internet|Java|program verification|search problems";"input sanitization|program validation operations|complex string operations|search-driven string constraint solving technique|hybrid constraint solving procedure|ant colony optimization metaheuristic|fallback mechanism|ACO-solver tool|XSS vulnerability detection|Java Web applications";"vulnerability detection|string constraint solving|search-based software engineering";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985662";"ICSE"
"A Guided Genetic Algorithm for Automated Crash Reproduction";"Mozhan Soltani|Annibale Panichella|Arie van Deursen";"Delft Univ. of Technol., Delft, Netherlands|SnT Centre, Univ. of Luxembourg, Luxembourg City, Luxembourg|Delft Univ. of Technol., Delft, Netherlands";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"1";"179";"Tools|Genetic algorithms|Software|Model checking|Computer bugs|Debugging";"genetic algorithms|program debugging";"guided genetic algorithm|automated crash reproduction|crash debugging|automatic failure reproduction|EvoCrash|post-failure approach|GGA";"Search-Based Software Testing|Genetic Algorithms|Automated Crash Reproduction";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985663";"ICSE"
"Stochastic Optimization of Program Obfuscation";"Han Liu|Chengnian Sun|Zhendong Su|Yu Jiang|Ming Gu|Jiaguang Sun";"Sch. of Software, Tsinghua Univ., Beijing, China|Univ. of California, Davis, Davis, CA, USA|Univ. of California, Davis, Davis, CA, USA|Sch. of Software, Tsinghua Univ., Beijing, China|Sch. of Software, Tsinghua Univ., Beijing, China|Sch. of Software, Tsinghua Univ., Beijing, China";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"0";"179";"Optimization|Mathematical model|Reactive power|Markov processes|Google|Lenses|Software";"Java|Markov processes|Monte Carlo methods|software engineering";"stochastic optimization|program obfuscation|software development|source code|binary code|mathematical optimization problem|guided stochastic algorithm|obscurity language model|Markov chain Monte Carlo methods|JavaScript";"program obfuscation|obscurity language model|markov chain monte carlo methods";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985664";"ICSE"
"ZenIDS: Introspective Intrusion Detection for PHP Applications";"Byron Hawkins|Brian Demsky";"Univ. of California, Irvine, Irvine, CA, USA|Univ. of California, Irvine, Irvine, CA, USA";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"0";"199";"Training|Monitoring|Authentication|Intrusion detection|Internet|Content management";"authoring languages|security of data|system monitoring";"PHP applications|ZENIDS|PHP extension|PHP interpreter|malicious requests detection|live Web traffic monitoring|vanilla LAMP stack|introspective intrusion detection|intrusion detection systems";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985665";"ICSE"
"Statically Checking Web API Requests in JavaScript";"Erik Wittern|Annie T.T. Ying|Yunhui Zheng|Julian Dolby|Jim A. Laredo";"IBM T. J. Watson Res. Center, Yorktown Heights, NY, USA|IBM T. J. Watson Res. Center, Yorktown Heights, NY, USA|IBM T. J. Watson Res. Center, Yorktown Heights, NY, USA|IBM T. J. Watson Res. Center, Yorktown Heights, NY, USA|IBM T. J. Watson Res. Center, Yorktown Heights, NY, USA";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"2";"247";"Uniform resource locators|Data mining|Reactive power|Payloads|Tools|Media|Writing";"application program interfaces|Java|program diagnostics";"Web API requests|JavaScript|HTTP requests|compile-time error checking|URL string|interprocedural string analysis|GitHub";"Static analysis|JavaScript|Web APIs";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985666";"ICSE"
"On Cross-Stack Configuration Errors";"Mohammed Sayagh|Noureddine Kerzazi|Bram Adams";"||";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"1";"83";"Databases|Web servers|Testing|Debugging|Operating systems";"Internet|program slicing|source code (software)";"Web applications|software stacks|cross-stack configuration errors|programming languages|CsCE|qualitative analysis|configuration errors|source code analysis|source code slicing|culprit configuration option|LAMP stack layers";"Software Configuration|Software Stack|Qualitative Study|Multi-layer Systems|Empirical Study|Slicing|PHP";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985667";"ICSE"
"Efficient Detection of Thread Safety Violations via Coverage-Guided Generation of Concurrent Tests";"Ankit Choudhary|Shan Lu|Michael Pradel";"Dept. of Comput. Sci., Tech. Univ. Darmstadt, Darmstadt, Germany|Dept. of Comput. Sci., Univ. of Chicago, Chicago, IL, USA|Dept. of Comput. Sci., Tech. Univ. Darmstadt, Darmstadt, Germany";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"1";"96";"Instruction sets|Computer bugs|Concurrent computing|Testing|Synchronization|Schedules";"concurrency (computers)|Java|program debugging|program testing|synchronisation";"thread safety violation detection|coverage-guided generation|concurrent tests|concurrent program writing|synchronization|missed concurrency bugs|sequential tests|CovCon|bug pattern|thread-safe Java classes|test generation";"test generation|coverage|concurrency";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985668";"ICSE"
"RClassify: Classifying Race Conditions in Web Applications via Deterministic Replay";"Lu Zhang|Chao Wang";"Virginia Tech., Blacksburg, VA, USA|Univ. of Southern California, Los Angeles, CA, USA";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"2";"72";"Tools|HTML|Browsers|Companies|Robustness|Benchmark testing|Standards";"Internet|pattern classification";"RClassify|race condition classification|Web applications|platform-agnostic deterministic replay-based method|program state|evidence-based classification method|Web sites";"Race condition|web application|JavaScript|deterministic replay|program repair";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985669";"ICSE"
"Repairing Event Race Errors by Controlling Nondeterminism";"Christoffer Quist Adamsen|Anders M&#x00F8;ller|Rezwana Karim|Manu Sridharan|Frank Tip|Koushik Sen";"Aarhus Univ., Aarhus, Denmark|Aarhus Univ., Aarhus, Denmark|Samsung Res. America, Mountain View, CA, USA|Samsung Res. America, Mountain View, CA, USA|Northeastern Univ., Boston, MA, USA|EECS Dept., UC Berkeley, Berkeley, CA, USA";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"1";"112";"Maintenance engineering|Thumb|Tools|Browsers|Instruments|Programming|Schedules";"high level languages|Internet|object-oriented programming|online front-ends|software maintenance";"event race error repair|JavaScript Web applications|event handler scheduling|browser|EventRaceCommander|source code instrumentation|application-independent repair policies|application-specific repair policies";"JavaScript|event-driven programming|automated repair";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985670";"ICSE"
"Making Malory Behave Maliciously: Targeted Fuzzing of Android Execution Environments";"Siegfried Rasthofer|Steven Arzt|Stefan Triller|Michael Pradel";"Fraunhofer SIT, Tech. Univ. Darmstadt, Darmstadt, Germany|Fraunhofer SIT, Tech. Univ. Darmstadt, Darmstadt, Germany|Fraunhofer SIT, Germany|Dept. of Comput. Sci., Tech. Univ. Darmstadt, Darmstadt, Germany";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"2";"247";"Malware|Smart phones|Heuristic algorithms|Algorithm design and analysis|Mobile communication|Security|Instruments";"invasive software|smart phones";"malory|Android execution environment targeted fuzzing|Android applications|malicious behavior|malware|security analyst|app-specific constraints|FuzzDroid|static analysis|dynamic analysis|search-based algorithm|code locations";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985671";"ICSE"
"A SEALANT for Inter-App Security Holes in Android";"Youn Kyu Lee|Jae Young Bang|Gholamreza Safi|Arman Shahbazian|Yixue Zhao|Nenad Medvidovic";"Comput. Sci. Dept., Univ. of Southern California, Los Angeles, CA, USA|Kakao Corp., Seongnam, South Korea|Comput. Sci. Dept., Univ. of Southern California, Los Angeles, CA, USA|Comput. Sci. Dept., Univ. of Southern California, Los Angeles, CA, USA|Comput. Sci. Dept., Univ. of Southern California, Los Angeles, CA, USA|Comput. Sci. Dept., Univ. of Southern California, Los Angeles, CA, USA";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"1";"222";"Sealing materials|Androids|Humanoid robots|Runtime|Security|Monitoring|Focusing";"Android (operating system)|program diagnostics|security of data";"SEALANT technique|inter-app security holes|Android communication model|static analysis|app code|vulnerable communication channels|inter-app communication runtime monitoring";"Android|Security|Inter-app vulnerability";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985672";"ICSE"
"An Efficient, Robust, and Scalable Approach for Analyzing Interacting Android Apps";"Yutaka Tsutano|Shakthi Bachala|Witawas Srisa-An|Gregg Rothermel|Jackson Dinh";"Dept. of Comput. Sci. &amp; Eng., Univ. of Nebraska-Lincoln, Lincoln, NE, USA|Dept. of Comput. Sci. &amp; Eng., Univ. of Nebraska-Lincoln, Lincoln, NE, USA|Dept. of Comput. Sci. &amp; Eng., Univ. of Nebraska-Lincoln, Lincoln, NE, USA|Dept. of Comput. Sci. &amp; Eng., Univ. of Nebraska-Lincoln, Lincoln, NE, USA|Dept. of Comput. Sci. &amp; Eng., Univ. of Nebraska-Lincoln, Lincoln, NE, USA";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"0";"282";"Androids|Humanoid robots|Tools|Security|Java|Libraries|Robustness";"Android (operating system)|mobile computing|program compilers";"Android Apps|JITANA|program analysis|classloader-based approach|SOOT|Facebook|Pokemon Go|Pandora";"Android|program analysis|inter-app communication";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985673";"ICSE"
"LibD: Scalable and Precise Third-Party Library Detection in Android Markets";"Menghao Li|Wei Wang|Pei Wang|Shuai Wang|Dinghao Wu|Jian Liu|Rui Xue|Wei Huo";"Key Lab. of Network Assessment Technol., Inst. of Inf. Eng., Beijing, China|Key Lab. of Network Assessment Technol., Inst. of Inf. Eng., Beijing, China|Coll. of Inf. Sci. &amp; Technol., Pennsylvania State Univ., University Park, PA, USA|Coll. of Inf. Sci. &amp; Technol., Pennsylvania State Univ., University Park, PA, USA|Coll. of Inf. Sci. &amp; Technol., Pennsylvania State Univ., University Park, PA, USA|Key Lab. of Network Assessment Technol., Inst. of Inf. Eng., Beijing, China|State Key Lab. of Inf. Security, Inst. of Inf. Eng., Beijing, China|Key Lab. of Network Assessment Technol., Inst. of Inf. Eng., Beijing, China";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"1";"272";"Libraries|Androids|Humanoid robots|Tools|Mobile communication|Security|Java";"Android (operating system)|mobile computing|pattern classification|security of data|software libraries|software tools";"LibD tool|precise third-party library detection|Android markets|mobile app markets|security problems|mobile ecosystem|third-party Android library identification|malware analysis|repackaging detection|internal code dependencies|library candidate classification|feature hashing|multipackage third-party libraries|name-based obfuscation";"Android|third-party library|software mining";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985674";"ICSE"
"Analysis and Testing of Notifications in Android Wear Applications";"Hailong Zhang|Atanas Rountev";"Ohio State Univ., Columbus, OH, USA|Ohio State Univ., Columbus, OH, USA";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"4";"227";"Semantics|Testing|Androids|Humanoid robots|Handheld computers|Software|Smart phones";"Android (operating system)|graphical user interfaces|program diagnostics|program testing|software tools|wearable computers";"notification testing|notification analysis|Android wear applications|Google platform|wearable devices|AW apps testing|AW apps analysis|handheld device|constraint-based static analysis|AW-specific coverage criteria|GUI event generation";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985675";"ICSE"
